ZyxelCom_6f:1d:e7	4
192.168.55.20	1
192.168.49.74	1
192.168.51.219	5
192.168.50.17	1
192.168.53.76	2
fe80::6de4:c95f:527e:7e48	3
fe80::15c4:15fd:316b:b096	3
192.168.50.203	7
Alcatel-_f2:c5:88	1
192.168.50.209	2
HewlettP_46:6d:36	3
192.168.49.152	4
192.168.49.78	1
192.168.50.243	10
192.168.49.85	3
192.168.50.165	4
192.168.49.80	2
192.168.0.1	2
192.168.49.90	13
192.168.50.250	1
192.168.51.118	1
HewlettP_c1:13:50	8
192.168.50.206	2
192.168.49.101	1
fe80::c422:e8cd:87a0:62ca	4
	
ZyxelCom_6f:1d:e7	5
fe80::18a:f265:e246:c4b4	4
fe80::c422:e8cd:87a0:62ca	2
fe80::5193:63ba:40b:594e	1
192.168.49.133	4
192.168.49.74	10
HewlettP_46:6e:21	6
Universa_38:d5:38	6
192.168.49.84	5
192.168.49.82	1
Alcatel-_f2:c5:88	2
192.168.50.17	1
fe80::80b4:dc7d:8536:3cf6	2
192.168.50.91	1
104.19.196.151	6
192.168.49.90	17
fe80::15c4:15fd:316b:b096	2
192.168.49.62	6
HewlettP_46:6d:36	6
fe80::20af:2c66:9a64:10e1	4
104.17.96.190	6
192.168.49.85	3
HonHaiPr_ca:2d:46	1
fda8:6c3:ce53:a890::9	3
Dell_de:f6:4a	1
192.168.50.243	11
	
fe80::75de:c0d8:e978:5f2a	2
fe80::c422:e8cd:87a0:62ca	4
192.168.49.120	4
fe80::18a:f265:e246:c4b4	1
HewlettP_46:6d:36	8
fe80::f50f:701:876b:ddd4	1
192.168.0.1	16
Alcatel-_f2:c5:88	2
192.168.50.91	1
192.168.49.129	5
172.217.161.14	4
192.168.50.203	1
192.168.49.62	2
HewlettP_c1:13:50	6
192.168.49.85	1
192.168.54.135	2
fe80::5193:63ba:40b:594e	1
192.168.49.82	20
192.168.49.74	4
fe80::15c4:15fd:316b:b096	1
fe80::a4c7:2386:5384:24ea	8
192.168.49.98	3
HewlettP_9d:c0:da	1
ZyxelCom_6f:1d:e7	5
192.168.53.76	1
192.168.50.250	2
192.168.49.90	20
192.168.51.139	17
fda8:6c3:ce53:a890::9	2
192.168.49.236	3
192.168.50.243	13
192.168.49.84	1
fe80::cc74:46fb:9b62:ccd9	13
192.168.49.80	2
192.168.49.174	1
HewlettP_a3:4a:b7	2
192.168.49.118	3
	
fe80::18a:f265:e246:c4b4	8
ZyxelCom_6f:1d:e7	5
192.168.51.139	5
fe80::501d:7b0:618:c0ff	2
192.168.50.203	1
192.168.49.78	1
192.168.49.236	4
192.168.49.74	7
HewlettP_46:6d:36	8
192.168.49.90	23
Universa_38:d5:38	6
fe80::c422:e8cd:87a0:62ca	1
192.168.50.243	12
192.168.49.80	2
HewlettP_a3:4a:ba	1
192.168.50.91	5
HewlettP_bc:14:b3	1
192.168.0.1	13
192.168.49.101	5
192.168.49.87	2
	
192.168.50.17	1
Universa_38:d5:38	3
192.168.0.1	10
HewlettP_46:6d:36	1
fe80::c422:e8cd:87a0:62ca	1
192.168.49.90	19
fe80::a4c7:2386:5384:24ea	3
HewlettP_a3:4a:b7	4
Alcatel-_f2:c5:88	4
192.168.51.118	4
fe80::7de9:fb9d:2b97:4cf6	1
fe80::59e3:fbd7:579c:cad8	8
192.168.50.165	23
fe80::a1d5:284e:a286:210	4
192.168.49.85	1
fe80::15c4:15fd:316b:b096	1
192.168.49.80	2
fda8:6c3:ce53:a890::9	3
fe80::e0c3:ef52:5910:b168	16
192.168.50.91	1
192.168.50.243	21
192.168.49.176	2
HewlettP_9d:c0:da	1
ZyxelCom_6f:1d:e7	5
Dell_de:f6:4a	4
fe80::501d:7b0:618:c0ff	1
	
192.168.50.17	6
192.168.49.78	1
192.168.53.76	10
fda8:6c3:ce53:a890::9	3
fe80::e0c3:ef52:5910:b168	2
fe80::d541:fa31:50f4:5baa	2
Grandstr_b7:22:7b	1
192.168.49.87	1
192.168.50.2	1
192.168.48.126	12
fe80::f6fd:6f8f:d47b:7b48	1
192.168.49.176	1
HewlettP_c1:13:50	4
fe80::a4c7:2386:5384:24ea	1
192.168.50.206	1
192.168.50.209	4
192.168.49.62	2
192.168.0.1	2
ZyxelCom_6f:1d:e7	5
192.168.54.135	1
192.168.49.90	20
192.168.51.90	1
192.168.50.250	3
192.168.49.171	1
192.168.55.20	1
192.168.49.85	1
192.168.50.243	13
192.168.50.224	3
	
HewlettP_38:07:06	1
fe80::501d:7b0:618:c0ff	3
192.168.54.135	4
192.168.49.85	3
fe80::18a:f265:e246:c4b4	1
fe80::75de:c0d8:e978:5f2a	1
HewlettP_46:6e:21	2
HewlettP_67:37:5f	1
fe80::c422:e8cd:87a0:62ca	2
192.168.49.66	1
192.168.49.80	1
192.168.50.17	1
192.168.49.101	1
HewlettP_a3:4a:b7	3
Dell_de:f6:4a	4
Universa_38:d5:38	6
192.168.49.133	2
HewlettP_46:6d:36	2
192.168.50.243	10
fe80::80b4:dc7d:8536:3cf6	1
Alcatel-_f2:c5:88	1
192.168.49.74	6
fe80::a00:27ff:fee4:187a	2
192.168.49.87	1
192.168.51.139	2
192.168.49.90	16
192.168.50.169	3
ZyxelCom_6f:1d:e7	5
	
192.168.49.80	3
fe80::18a:f265:e246:c4b4	2
192.168.49.74	8
192.168.50.243	13
fe80::c422:e8cd:87a0:62ca	20
192.168.50.203	1
fda8:6c3:ce53:a890::9	3
192.168.49.90	19
192.168.51.139	18
192.168.51.118	1
192.168.51.178	1
fe80::95de:a459:ce8e:26cf	1
fe80::a00:27ff:fee4:187a	1
fe80::cc74:46fb:9b62:ccd9	15
HewlettP_a3:4a:b7	2
192.168.49.85	20
192.168.49.120	1
192.168.50.250	1
192.168.54.135	1
192.168.53.76	5
192.168.50.17	2
fe80::3cac:c7e6:127e:eb5c	1
HewlettP_46:6d:36	7
192.168.49.62	6
